""	564
"PSP"	278175
"PUB"	12853
"PVD"	828296
"PVU"	13
"PWM"	306058
"Pasco/Kennewick/Richland	174
"Philadelphia	925
"Phoenix	3067
"Pittsburgh	935
"Portland	603
"RAP"	101794
"RCA"	1
"RDD"	23109
"RDM"	39431
"RDR"	92
"RDU"	1947433
"RFD"	3142
"RHI"	782
"RIC"	676526
"RKS"	1194
"RNO"	961299
"ROA"	133819
"ROC"	699507
"ROP"	3877
"ROR"	4415
"ROW"	2049
"RST"	113534
"RSW"	754969
"Raleigh/Durham	536
"Reno	513
"Richmond	53
"SAN"	2907667
"SAT"	1521877
"SAV"	351569
"SBA"	228210
"SBN"	125917
"SBP"	78583
"SCC"	21799
"SCE"	12908
"SCK"	6492
"SDF"	872043
"SEA"	3728837
"SFO"	5168898
"SGF"	156574
"SGU"	37173
"SHV"	243538
"SIT"	51246
"SJC"	2078511
"SJT"	30230
"SJU"	868464
"SKA"	1
"SLC"	3814190
"SLE"	1764
"SMF"	1532846
"SMX"	22689
"SNA"	1544129
"SOP"	636
"SPI"	11436
"SPN"	17968
"SPS"	32180
"SRQ"	319204
"STL"	5122503
"STT"	112477
"STX"	51202
"SUN"	35773
"SUX"	34435
"SWF"	110161
"SYR"	634850
"Sacramento	950
"Salt Lake City	924
"San Antonio	1899
"San Diego	236
"San Francisco	2125
"San Jose	1273
"San Juan	106
"Santa Ana	668
"Santa Barbara	102
"Sarasota/Bradenton	55
"Savannah	51
"Seattle	7924
"Shreveport	609
"Sitka	2658
"Spokane	182
"St. Louis	2833
"Steamboat Springs/Hayden	118
"TEX"	1310
"TLH"	194399
"TOL"	111879
"TPA"	2483867
"TRI"	93103
"TTN"	3358
"TUL"	883650
"TUP"	3954
"TUS"	781806
"TVC"	65407
"TVL"	6139
"TWF"	24235
"TXK"	21497
"TYR"	37284
"TYS"	381061
"Tampa	506
"Tucson	559
"Tulsa	1472
"UCA"	8816
"VCT"	4879
"VIS"	3975
"VLD"	14346
"VPS"	108565
"WRG"	26349
"WYS"	3249
"Washington	1582
"West Palm Beach/Palm Beach	209
"Wichita	511
"Wrangell	1938
"XNA"	166467
"YAK"	28226
"YAP"	1299
"YKM"	3377
"YUM"	43806
